Navn;Kodeverdi;Eier;Status;Oppdatert;Versjons ID;Beskrivelse;Gyldig fra;Gyldig til;ID;Mer generelt begrep;Ekstern id
Digitalisert;dig;Kartverket;Gyldig;01.03.2023;1;Posisjonen er digitalisert fra ortofoto eller andre plane kartdata;;;https://register.geonorge.no/sosi-kodelister/havnedata/datafangstmetode/dig;;
Fotogrammetri;fot;Kartverket;Gyldig;01.03.2023;1;Posisjonen er konstruert/generert fra en fotogrammetrisk stereomodell ;;;https://register.geonorge.no/sosi-kodelister/havnedata/datafangstmetode/fot;;
Generert;gen;Kartverket;Gyldig;01.03.2023;1;Posisjonen er manuelt konstruert, eller generert ved maskinlæring eller annen type programvare, fra punktsky fra laserskanning, bildematching, sonar, andre typer sensordata eller kombinasjon av flere typer sensordata.;;;https://register.geonorge.no/sosi-kodelister/havnedata/datafangstmetode/gen;;
Landmålt;lan;Kartverket;Gyldig;01.03.2023;1;Posisjonen er målt inn direkte med en landmålingsmetode. Aktuelle landmålingsmetoder kan være nivellering, vinkelmåling, avstandsmåling eller treghetsmåling. Kodeverdien brukes også for kombinasjoner av disse målemetodene eller der disse målemetodene kombineres med GNSS. Landmåling utføres normalt med overskytende målinger og utjevning av resultatet.;;;https://register.geonorge.no/sosi-kodelister/havnedata/datafangstmetode/lan;;
Plandata;pla;Kartverket;Gyldig;01.03.2023;1;Posisjonen er hentet plandata. Posisjonen er ikke verifisert med innmåling. ;;;https://register.geonorge.no/sosi-kodelister/havnedata/datafangstmetode/pla;;
Satellittmålt;sat;Kartverket;Gyldig;01.03.2023;1;Posisjonen er målt inn direkte med GNSS (for posisjoner målt inn med GNSS i kombinasjon med andre landmålingsmetoder skal koden Landmåling benyttes);;;https://register.geonorge.no/sosi-kodelister/havnedata/datafangstmetode/sat;;
Som bygget;byg;Kartverket;Gyldig;01.03.2023;1;Posisjonen er hentet fra prosjekterte eller planlagte data, f.eks. fra en BIM-modell, som er verifisert som bygget ved innmålinger;;;https://register.geonorge.no/sosi-kodelister/havnedata/datafangstmetode/byg;;
Ukjent;ukj;Kartverket;Gyldig;01.03.2023;1;Ukjent eller uspesifisert datafangstmetode;;;https://register.geonorge.no/sosi-kodelister/havnedata/datafangstmetode/ukj;;
