Navn;Kodeverdi;Eier;Status;Oppdatert;Versjons ID;Beskrivelse;Gyldig fra;Gyldig til;ID;Mer generelt begrep;Ekstern id
Genererte data (interpolasjon);60;Kartverket;Gyldig;15.04.2020;1;Genererte data, interpolasjonsmetode. Ikke nærmere spesifisert;;;https://register.geonorge.no/sosi-kodelister/malemetode-kode/60;;
Genererte data (interpolasjon): Terrengmodell;61;Kartverket;Gyldig;15.04.2020;1;Genererte data, interpolasjonsmetode, fra terrengmodell;;;https://register.geonorge.no/sosi-kodelister/malemetode-kode/61;;
Genererte data (interpolasjon): Vektet middel;62;Kartverket;Gyldig;15.04.2020;1;Genererte data, interpolasjonsmetode, vektet middel;;;https://register.geonorge.no/sosi-kodelister/malemetode-kode/62;;
Genererte data: Fra annen geometri;63;Kartverket;Gyldig;15.04.2020;1;Genererte data: Sirkelgeometri, korridor eller annen geometri generert ut fra f.eks et punkt eller en linje (f.eks midtlinje veg);;;https://register.geonorge.no/sosi-kodelister/malemetode-kode/63;;
Genererte data: Generalisering;64;Kartverket;Gyldig;15.04.2020;1;Genererte data: Generalisering;;;https://register.geonorge.no/sosi-kodelister/malemetode-kode/64;;
Genererte data: Sammenknytningspunkt, randpunkt;66;Kartverket;Gyldig;15.04.2020;1;Genererte data: Sammenknytningspunkt (f.eks mellom ulike kartlegginger), randpunkt (f.eks mellom ulike kilder til kart);;;https://register.geonorge.no/sosi-kodelister/malemetode-kode/66;;
Genererte data: Sentralpunkt;65;Kartverket;Gyldig;15.04.2020;1;Genererte data: Sentralpunkt;;;https://register.geonorge.no/sosi-kodelister/malemetode-kode/65;;
GNSS: Fasemåling , float-løsning;97;Kartverket;Gyldig;15.04.2020;1;Innmålt med satellittbaserte systemer for navigasjon og posisjonering med global dekning (f.eks GPS, GLONASS, GALILEO). Fasemåling float-løsning;;;https://register.geonorge.no/sosi-kodelister/malemetode-kode/97;;
GNSS: Fasemåling RTK;96;Kartverket;Gyldig;15.04.2020;1;Innmålt med satellittbaserte systemer for navigasjon og posisjonering med global dekning (f.eks GPS, GLONASS, GALILEO).: Fasemåling RTK (realtids kinematisk måling);;;https://register.geonorge.no/sosi-kodelister/malemetode-kode/96;;
GNSS: Fasemåling, andre metoder;94;Kartverket;Gyldig;15.04.2020;1;Innmålt med satellittbaserte systemer for navigasjon og posisjonering med global dekning (f.eks GPS, GLONASS, GALILEO): Fasemåling andre metoder.;;;https://register.geonorge.no/sosi-kodelister/malemetode-kode/94;;
GNSS: Fasemåling, statisk måling;93;Kartverket;Gyldig;15.04.2020;1;Innmålt med satellittbaserte systemer for navigasjon og posisjonering med global dekning (f.eks GPS, GLONASS, GALILEO): Fasemåling statisk måling.;;;https://register.geonorge.no/sosi-kodelister/malemetode-kode/93;;
GNSS: Kodemåling, enkle målinger;92;Kartverket;Gyldig;15.04.2020;1;Innmålt med satellittbaserte systemer for navigasjon og posisjonering med global dekning (f.eks GPS, GLONASS, GALILEO): Kodemåling, enkle målinger.;;;https://register.geonorge.no/sosi-kodelister/malemetode-kode/92;;
GNSS: Kodemåling, relative målinger;91;Kartverket;Gyldig;15.04.2020;1;Innmålt med satellittbaserte systemer for navigasjon og posisjonering med global dekning (f.eks GPS, GLONASS, GALILEO): Kodemåling, relative målinger.;;;https://register.geonorge.no/sosi-kodelister/malemetode-kode/91;;
Kombinasjon av GNSS/Treghet;95;Kartverket;Gyldig;15.04.2020;1;Kombinasjon av GPS/Treghet;;;https://register.geonorge.no/sosi-kodelister/malemetode-kode/95;;
Koordinater hentet fra GAB;67;Kartverket;Gyldig;15.04.2020;1;Koordinater hentet fra GAB, forløperen til registerdelen av matrikkelen;;;https://register.geonorge.no/sosi-kodelister/malemetode-kode/67;;
Koordinater hentet fra JREG;68;Kartverket;Gyldig;15.04.2020;1;Koordinater hentet fra JREG, jordregisteret;;;https://register.geonorge.no/sosi-kodelister/malemetode-kode/68;;
Lineær referanse;38;Kartverket;Gyldig;15.04.2020;1;brukes for objekter som er stedfestet med lineær referanse, enten disse leveres med stedfesting kun som lineære referanser, eller med koordinatgeometri avledet fra lineære referanser;;;https://register.geonorge.no/sosi-kodelister/malemetode-kode/38;;
Scannet fra kart;30;Kartverket;Gyldig;15.04.2020;1;Geometri overført fra kart maskinelt ved hjelp av skanner, uspesifisert kartmedium;;;https://register.geonorge.no/sosi-kodelister/malemetode-kode/30;;
Skannet fra kart: Blyantoriginal;31;Kartverket;Gyldig;15.04.2020;1;Geometri overført fra kart maskinelt ved hjelp av skanner. Kartmedium er blyantoriginal;;;https://register.geonorge.no/sosi-kodelister/malemetode-kode/31;;
Skannet fra kart: Papirkopi;35;Kartverket;Gyldig;15.04.2020;1;Geometri overført fra kart maskinelt ved hjelp av skanner. Kartmedium er papirkopi.;;;https://register.geonorge.no/sosi-kodelister/malemetode-kode/35;;
Skannet fra kart: Rissefolie;32;Kartverket;Gyldig;15.04.2020;1;Geometri overført fra kart maskinelt ved hjelp av skanner. Kartmedium er rissefolie;;;https://register.geonorge.no/sosi-kodelister/malemetode-kode/32;;
Skannet fra kart: Transparent folie, god kvalitet;33;Kartverket;Gyldig;15.04.2020;1;Geometri overført fra kart maskinelt ved hjelp av skanner. Kartmedium er transparent folie av  god kvalitet.;;;https://register.geonorge.no/sosi-kodelister/malemetode-kode/33;;
Skannet fra kart: Transparent folie, mindre god kvalitet;34;Kartverket;Gyldig;15.04.2020;1;Geometri overført fra kart maskinelt ved hjelp av skanner. Kartmedium er transparent folie av mindre god kvalitet;;;https://register.geonorge.no/sosi-kodelister/malemetode-kode/34;;
Spesielle metoder;70;Kartverket;Gyldig;15.04.2020;1;Spesielle metoder, uspesifisert;;;https://register.geonorge.no/sosi-kodelister/malemetode-kode/70;;
Spesielle metoder: Målt med målehjul;73;Kartverket;Gyldig;15.04.2020;1;Spesielle metoder: Målt med målehjul;;;https://register.geonorge.no/sosi-kodelister/malemetode-kode/73;;
Spesielle metoder: Målt med stigningsmåler;74;Kartverket;Gyldig;15.04.2020;1;Spesielle metoder: Målt med stigningsmåler;;;https://register.geonorge.no/sosi-kodelister/malemetode-kode/74;;
Spesielle metoder: Målt med stikkstang;71;Kartverket;Gyldig;15.04.2020;1;Spesielle metoder: Målt med stikkstang;;;https://register.geonorge.no/sosi-kodelister/malemetode-kode/71;;
