;vegnr;vegkategori;Antall siffer;bbox
3366;FV7354;F;4;13.8504,66.0068,13.9319,66.0302
3367;FV7356;F;4;13.8073,65.8764,14.4536,65.919
3368;FV7358;F;4;13.8357,66.1506,13.976,66.164
3369;FV7360;F;4;13.8436,65.9066,13.8711,65.9192
3370;FV7362;F;4;13.9781,66.2386,14.0788,66.2519
3371;FV7364;F;4;14.3398,66.313,14.6815,66.3488
3372;FV7366;F;4;14.0447,66.3643,14.3111,66.4356
3373;FV7368;F;4;14.236,66.4134,14.3062,66.4624
3374;FV7370;F;4;13.6665,66.3789,14.2574,66.5222
3375;FV7372;F;4;14.3153,66.3486,14.4805,66.359
3376;FV7374;F;4;14.5388,66.303,14.8396,66.392
3377;FV7376;F;4;14.8259,66.4394,14.8629,66.4735
3378;FV7378;F;4;13.9699,66.3116,14.0,66.3336
3379;FV7380;F;4;13.0241,66.1763,13.1349,66.2003
3380;FV7382;F;4;12.9181,66.2006,13.145,66.2742
3381;FV7384;F;4;12.7115,66.2246,12.9189,66.2936
3382;FV7386;F;4;12.9268,66.1705,13.0116,66.2074
3383;FV7388;F;4;12.5481,66.3498,12.6122,66.371
3384;FV7390;F;4;12.8244,66.3924,12.8796,66.4198
3385;FV7392;F;4;12.8346,66.5231,12.8752,66.5596
3386;FV7394;F;4;12.6428,66.5107,13.2856,66.6557
3387;FV7396;F;4;12.3528,66.3673,12.3702,66.37
3388;FV7398;F;4;12.0802,66.4937,12.1022,66.5045
3389;FV74;F;2;12.3408,64.3888,14.0861,64.4948
3390;FV7400;F;4;12.2211,66.5828,12.2411,66.5883
3391;FV7402;F;4;13.2274,66.4817,13.3123,66.5069
3392;FV7404;F;4;13.0591,66.6557,13.0789,66.6678
3393;FV7406;F;4;13.2802,66.7096,13.2887,66.7136
3394;FV7408;F;4;13.291,66.6909,13.3941,66.7033
3395;FV7410;F;4;13.0075,66.4583,13.2075,66.514
3396;FV7412;F;4;13.2036,66.6353,13.3858,66.6677
3397;FV7414;F;4;12.9915,66.6136,13.0426,66.6392
3398;FV7416;F;4;13.208,66.4879,13.2259,66.5177
3399;FV7418;F;4;12.9795,66.5744,13.0084,66.5815
3400;FV7420;F;4;13.2352,66.7439,13.7618,66.8675
3401;FV7422;F;4;13.4074,66.8188,13.4153,66.8233
3402;FV7424;F;4;13.6402,66.9079,13.766,66.9126
3403;FV7426;F;4;13.5683,66.9076,13.6363,66.91
3404;FV7428;F;4;13.4289,66.9179,13.467,66.9269
3405;FV7430;F;4;13.2599,66.7512,13.5342,66.7912
3406;FV7432;F;4;13.9195,66.8153,13.943,66.8176
3407;FV7434;F;4;13.3401,66.8155,13.7059,66.8738
3408;FV7436;F;4;13.7864,66.9596,13.8055,66.97
3409;FV7438;F;4;14.031,67.0619,14.2498,67.1468
3410;FV7440;F;4;14.2159,67.04,14.2358,67.0619
3411;FV7442;F;4;14.3014,67.0869,14.3243,67.1222
3412;FV7444;F;4;13.8655,66.9514,13.9872,67.0094
3413;FV7446;F;4;13.9669,67.0856,14.0497,67.1544
3414;FV7448;F;4;13.9644,66.96,13.9943,66.9792
3415;FV7450;F;4;14.203,67.1363,14.2573,67.1899
3416;FV7452;F;4;14.6226,67.0004,14.6241,67.0018
3417;FV7454;F;4;14.5688,66.7583,14.8181,66.9934
3418;FV7456;F;4;14.7572,66.9186,14.8243,66.9892
3419;FV7458;F;4;15.4633,66.7338,15.4706,66.7427
3420;FV7460;F;4;15.3193,66.9231,15.5177,66.9852
3421;FV7462;F;4;15.3687,66.9711,15.4977,66.9906
3422;FV7464;F;4;15.3769,67.0836,15.3967,67.141
3423;FV7466;F;4;15.3155,66.9817,15.3971,67.0869
3424;FV7468;F;4;15.4681,67.093,15.4767,67.097
3425;FV7470;F;4;15.1429,67.2553,15.3689,67.3916
3426;FV7472;F;4;15.1739,67.3289,15.2663,67.3527
3427;FV7474;F;4;15.1118,67.2767,15.1444,67.2861
3428;FV7476;F;4;15.3926,67.2803,15.4969,67.3469
3429;FV7478;F;4;15.4995,67.3221,15.6078,67.3563
3430;FV7480;F;4;15.3846,67.2235,15.4009,67.2309
3431;FV7482;F;4;16.0058,67.0832,16.097,67.1326
3432;FV7484;F;4;14.9761,67.1202,15.0131,67.1554
3433;FV7486;F;4;14.9149,67.2308,15.0005,67.2437
3434;FV7488;F;4;14.9717,67.2023,15.1589,67.2363
3435;FV7490;F;4;14.7412,67.51,15.1252,67.5933
3436;FV7492;F;4;14.5413,67.2877,14.6414,67.3259
3437;FV7494;F;4;14.3834,67.2116,14.604,67.2369
3438;FV7496;F;4;14.773,67.2754,14.8439,67.2978
3439;FV7498;F;4;15.4579,67.5119,15.7339,67.5737
3440;FV7500;F;4;15.7121,67.5706,15.881,67.6901
3441;FV7502;F;4;15.5386,67.3494,15.5827,67.3719
3442;FV7504;F;4;15.6712,67.4217,15.7292,67.4402
3443;FV7506;F;4;15.6532,67.543,15.6641,67.5486
3444;FV7508;F;4;14.9358,67.6654,15.1912,67.7504
3445;FV7510;F;4;15.2416,67.7642,15.3628,67.8013
3446;FV7512;F;4;14.7729,67.732,15.1507,67.7634
3447;FV7514;F;4;14.7798,67.7889,15.0555,67.8345
3448;FV7516;F;4;14.8715,67.8591,15.187,67.8978
3449;FV7518;F;4;15.3278,67.9104,15.3408,67.917
3450;FV752;F;3;11.0699,63.464,11.118,63.52
3451;FV7520;F;4;14.9511,67.9182,15.2269,67.9734
3452;FV7522;F;4;15.2063,67.9275,15.2492,67.9333
3453;FV7524;F;4;15.3534,68.003,15.4225,68.0243
3454;FV7526;F;4;15.4944,67.9635,15.9308,68.0192
3455;FV7528;F;4;15.4501,68.1015,15.5198,68.1485
3456;FV753;F;3;10.6921,63.5592,11.0432,63.6159
3457;FV7530;F;4;15.5908,68.0852,15.6729,68.1835
3458;FV7532;F;4;15.6507,68.1267,15.714,68.1556
3459;FV7534;F;4;16.0459,68.2162,16.0641,68.2538
3460;FV7536;F;4;16.0796,68.0166,16.1673,68.0446
3461;FV7538;F;4;16.0309,68.1721,16.1057,68.1891
3462;FV754;F;3;11.188,63.6373,11.2742,63.7099
3463;FV7540;F;4;16.2612,68.0937,16.3587,68.1459
3464;FV7542;F;4;15.3336,68.328,15.7583,68.3772
3465;FV7544;F;4;15.6199,68.3089,15.6431,68.328
3466;FV7546;F;4;15.9043,68.3955,16.0029,68.4217
3467;FV7548;F;4;16.1062,68.4198,16.512,68.5554
3468;FV755;F;3;10.2003,63.5491,11.3992,63.8751
3469;FV7550;F;4;16.5158,68.5484,16.5432,68.5581
3470;FV7552;F;4;16.5857,68.4546,16.9317,68.5094
3471;FV7554;F;4;16.6992,68.4587,16.7161,68.4917
3472;FV7556;F;4;16.6442,68.4926,16.7734,68.5922
