;vegnr;vegkategori;Antall siffer;bbox
3690;FV7962;F;4;21.9739,69.9328,22.0522,69.9836
3691;FV7964;F;4;22.0432,69.9394,22.0514,69.9409
3692;FV7966;F;4;21.8721,70.0308,22.1135,70.0709
3693;FV7968;F;4;21.8227,69.7218,22.1467,69.8441
3694;FV7974;F;4;23.6168,69.4213,23.6866,69.4554
3695;FV7976;F;4;23.038,68.9985,23.2446,69.025
3696;FV7978;F;4;22.8985,68.9238,23.0411,69.013
3697;FV7980;F;4;23.0408,69.0112,23.1109,69.0497
3698;FV7982;F;4;22.839,69.017,23.0453,69.0625
3699;FV7984;F;4;23.2913,69.9755,23.3291,69.9907
3700;FV7988;F;4;23.2364,69.9474,23.2875,69.9587
3701;FV7990;F;4;23.2575,69.9307,23.377,69.9672
3702;FV7992;F;4;23.4778,69.9198,23.519,69.932
3703;FV7994;F;4;23.4684,69.9149,23.486,69.927
3704;FV7996;F;4;23.0118,69.9067,23.1072,69.9454
3705;FV800;F;3;9.8653,63.3105,10.2145,63.3487
3706;FV8002;F;4;23.405,69.9198,23.519,69.9624
3707;FV8004;F;4;23.2195,69.9564,23.2829,69.9733
3708;FV8006;F;4;23.3625,70.0186,23.5376,70.0288
3709;FV8008;F;4;23.2417,69.8026,23.4935,69.8954
3710;FV801;F;3;12.173,65.0419,12.3742,65.0893
3711;FV8010;F;4;23.0452,70.2784,23.1226,70.3424
3712;FV8012;F;4;21.7169,70.2189,22.3581,70.3497
3713;FV8014;F;4;21.5529,70.2152,21.733,70.3049
3714;FV8018;F;4;22.068,70.2293,22.3581,70.2894
3715;FV802;F;3;11.9534,65.0741,12.0483,65.0873
3716;FV8024;F;4;23.3648,70.7805,23.463,70.7949
3717;FV8026;F;4;23.3649,70.5288,23.6492,70.6132
3718;FV8028;F;4;23.5667,70.3787,23.9674,70.51
3719;FV803;F;3;13.3845,65.5324,13.4076,65.5377
3720;FV8030;F;4;23.9481,70.5156,24.0041,70.5475
3721;FV8032;F;4;24.1094,70.4473,24.343,70.5359
3722;FV8038;F;4;25.372,71.0201,25.7777,71.1018
3723;FV804;F;3;13.9733,65.4221,14.0217,65.5947
3724;FV8040;F;4;23.8963,70.9895,24.6765,71.0058
3725;FV8042;F;4;24.9767,71.0052,25.0151,71.0122
3726;FV8046;F;4;25.7824,71.0912,25.8321,71.114
3727;FV8048;F;4;25.8846,71.0331,25.9187,71.0488
3728;FV8050;F;4;25.9704,70.9734,26.033,70.9901
3729;FV8054;F;4;25.6136,70.7392,25.6721,70.747
3730;FV8056;F;4;25.0338,70.055,25.0761,70.0931
3731;FV8058;F;4;24.6024,70.6109,24.692,70.6173
3732;FV806;F;3;13.803,65.9086,13.8529,66.0764
3733;FV8060;F;4;25.3964,70.311,26.6141,70.6726
3734;FV8062;F;4;24.9192,70.0232,24.9488,70.0513
3735;FV8064;F;4;25.0719,70.2842,25.1154,70.2937
3736;FV8068;F;4;25.272,69.4328,25.505,69.4657
3737;FV8070;F;4;27.2235,70.8919,27.4268,70.9352
3738;FV8072;F;4;27.8487,71.0325,28.2623,71.0639
3739;FV8074;F;4;27.7207,70.7938,28.1118,70.8253
3740;FV808;F;3;13.102,66.1539,13.8017,66.2251
3741;FV8080;F;4;28.193,70.3988,28.3012,70.4642
3742;FV8082;F;4;28.488,70.4391,28.5164,70.4634
3743;FV8084;F;4;27.3937,70.0131,27.4034,70.0158
3744;FV8086;F;4;28.5393,70.1112,28.575,70.1229
3745;FV8088;F;4;30.0787,70.07,30.1026,70.08
3746;FV809;F;3;12.4743,66.0179,12.6438,66.1574
3747;FV8090;F;4;30.3286,70.1862,30.341,70.1893
3748;FV8092;F;4;29.3296,70.1114,29.3358,70.1263
3749;FV8096;F;4;29.7141,70.0746,29.7671,70.0872
3750;FV81;F;2;14.5397,68.0081,15.8658,68.2363
3751;FV810;F;3;13.5489,66.2769,14.1687,66.3406
3752;FV8100;F;4;30.5475,70.3587,31.0301,70.5412
3753;FV8104;F;4;31.1046,70.3705,31.1146,70.3767
3754;FV8106;F;4;30.9797,70.2854,30.9973,70.2908
3755;FV8108;F;4;29.377,69.6941,29.401,69.7043
3756;FV811;F;3;14.3078,66.3641,14.3165,66.3651
3757;FV8110;F;4;30.1133,69.6796,30.147,69.7336
3758;FV8112;F;4;29.2124,69.9677,29.6449,70.0171
3759;FV8116;F;4;29.8352,69.4163,29.9985,69.4529
3760;FV812;F;3;14.6241,67.0318,15.3842,67.2311
3761;FV8120;F;4;30.0754,69.7271,30.0833,69.7279
3762;FV8122;F;4;30.044,69.7205,30.0682,69.7254
3763;FV8124;F;4;23.6727,70.6774,23.8078,70.7213
3764;FV813;F;3;14.5553,66.9835,15.001,67.0516
3765;FV815;F;3;13.6178,68.1438,14.1638,68.2686
3766;FV816;F;3;14.2069,68.1569,14.2404,68.2062
3767;FV817;F;3;13.7798,68.1208,13.856,68.156
3768;FV818;F;3;13.5279,68.069,13.5652,68.1342
3769;FV819;F;3;16.6561,68.3387,16.8947,68.4222
3770;FV82;F;2;14.7984,68.424,17.0555,69.367
3771;FV820;F;3;14.437,68.6069,15.4129,68.7831
3772;FV821;F;3;15.0685,68.7572,15.1881,68.9151
3773;FV822;F;3;15.1951,68.5222,15.6474,68.6304
3774;FV8240;F;4;16.4548,68.4779,16.6735,68.5777
3775;FV825;F;3;16.5844,68.6217,17.701,68.7342
3776;FV826;F;3;15.4542,67.3187,15.5428,67.4865
3777;FV828;F;3;12.2634,65.924,12.5835,66.0815
3778;FV8290;F;4;17.1192,68.5368,17.2758,68.6732
3779;FV830;F;3;15.4321,67.1326,16.0813,67.2549
3780;FV831;F;3;13.2887,66.6854,13.4669,66.7096
3781;FV832;F;3;16.5674,68.5698,16.639,68.6026
3782;FV834;F;3;14.3959,67.281,14.7702,67.51
3783;FV835;F;3;15.0135,67.7478,15.8598,67.9529
3784;FV836;F;3;12.1022,66.3378,13.0148,66.5841
3785;FV837;F;3;15.684,68.3686,15.8936,68.4682
3786;FV838;F;3;14.0262,66.9859,14.0707,67.0913
3787;FV839;F;3;11.9622,65.5835,12.4332,65.822
3788;FV84;F;2;17.7192,68.6889,18.1529,69.1453
3789;FV8470;F;4;18.3485,68.6531,18.8836,68.8609
3790;FV848;F;3;16.565,68.7204,17.7356,68.9401
3791;FV849;F;3;16.1712,68.7612,16.2428,68.7726
3792;FV850;F;3;15.7603,68.6179,16.5086,68.8079
3793;FV851;F;3;17.8527,68.821,18.1883,68.8787
3794;FV852;F;3;17.6881,69.0631,17.7357,69.0828
3795;FV8530;F;4;18.5113,69.0629,18.5165,69.0645
3796;FV854;F;3;18.4868,69.0197,18.8983,69.333
3797;FV855;F;3;18.087,69.1326,18.581,69.2516
3798;FV8560;F;4;18.167,69.2508,18.3102,69.3643
3799;FV8570;F;4;19.049,69.0244,19.303,69.1398
3800;FV858;F;3;18.7199,69.2163,19.3007,69.6772
3801;FV8590;F;4;19.2774,69.2764,19.3459,69.3113
3802;FV86;F;2;17.0515,69.0606,18.4959,69.4151
3803;FV8600;F;4;16.8057,69.0534,17.8652,69.2404
3804;FV861;F;3;17.8147,69.245,18.0675,69.4619
3805;FV862;F;3;17.3312,69.3891,18.9862,69.6958
3806;FV863;F;3;18.8838,69.6958,19.8549,70.0549
3807;FV864;F;3;19.016,69.6624,19.676,69.7995
3808;FV8650;F;4;21.0244,69.4793,21.4777,69.7682
3809;FV866;F;3;20.7808,69.8204,20.9815,70.0359
3810;FV8670;F;4;16.4718,68.8078,16.6273,69.0197
3811;FV868;F;3;19.8799,69.2555,20.224,69.5763
3812;FV8690;F;4;20.7712,70.0033,20.8982,70.0803
3813;FV87;F;2;18.5108,68.9915,19.8152,69.197
3814;FV870;F;3;23.2611,69.9581,23.3741,69.9694
3815;FV871;F;3;23.6741,70.6613,23.6814,70.6643
3816;FV872;F;3;23.6593,70.6717,23.6776,70.6797
3817;FV874;F;3;25.9604,71.0066,25.9749,71.0087
3818;FV875;F;3;29.8367,70.0629,29.8414,70.064
3819;FV876;F;3;31.0348,70.3565,31.0396,70.3605
3820;FV882;F;3;21.9793,70.0397,22.5416,70.635
3821;FV8830;F;4;23.1909,70.1078,23.6054,70.3257
3822;FV884;F;3;11.4367,58.9348,11.671,59.086
3823;FV8850;F;4;29.1474,69.1425,30.1101,69.6876
3824;FV8860;F;4;30.2022,69.6603,30.8876,69.791
3825;FV888;F;3;26.9659,70.4627,27.8523,71.0422
3826;FV889;F;3;24.5145,70.5022,25.0415,70.9998
3827;FV890;F;3;28.1741,70.1983,29.3773,70.8699
3828;FV891;F;3;29.0971,70.5202,29.7376,70.6384
3829;FV894;F;3;27.298,70.9343,27.7529,70.9566
3830;FV895;F;3;27.9611,70.0647,28.2247,70.1663
3831;FV91;F;2;19.1818,69.5613,20.5372,69.6699
3832;FV921;F;3;11.3511,59.1265,11.3806,59.14
3833;FV950;F;3;10.488,63.4112,10.916,63.4514
3834;FV98;F;2;24.9802,70.0505,28.193,70.4824
3835;RV110;R;3;10.8432,59.2064,10.9781,59.3559
3836;RV13;R;2;5.7225,58.9584,7.1051,61.2289
3837;RV15;R;2;5.1104,61.7708,9.5447,62.0313
3838;RV150;R;3;10.6271,59.9086,10.8083,59.9536
3839;RV159;R;3;10.9163,59.9284,11.0774,59.9529
3840;RV162;R;3;10.7205,59.8987,10.7635,59.9179
3841;RV163;R;3;10.7983,59.9268,10.9492,59.9552
3842;RV19;R;2;10.3777,59.375,10.7045,59.4458
3843;RV191;R;3;10.8487,59.9283,10.8667,59.9419
3844;RV2;R;1;11.5588,59.9309,12.2406,60.8829
3845;RV204;R;3;11.2712,59.1209,11.3849,59.1285
3846;RV22;R;2;10.9573,59.1853,11.3829,59.9805
3847;RV226;R;3;11.0394,59.9696,11.0571,59.9995
3848;RV25;R;2;11.0733,60.7928,12.8371,61.2744
3849;RV291;R;3;10.2091,59.7312,10.2287,59.7426
3850;RV3;R;1;9.9823,60.7016,11.5398,62.7514
3851;RV350;R;3;9.8974,59.7632,10.2208,60.152
3852;RV354;R;3;9.6641,59.0356,9.6953,59.0757
3853;RV36;R;2;8.6442,59.0988,9.685,59.4894
3854;RV4;R;1;10.5511,59.9334,10.9311,60.9291
3855;RV400;R;3;10.0512,59.0393,10.067,59.0851
3856;RV41;R;2;8.076,58.1713,8.5887,59.4376
3857;RV426;R;3;5.9747,58.4385,6.0981,58.5235
3858;RV444;R;3;5.6962,58.8114,5.7132,58.8671
3859;RV5;R;1;5.0272,61.0649,7.518,61.6137
3860;RV509;R;3;5.5987,58.8861,5.6967,58.9624
3861;RV52;R;2;7.9525,60.6947,8.9333,61.0737
3862;RV555;R;3;5.079,60.3495,5.3343,60.3909
3863;RV580;R;3;5.2347,60.2887,5.3301,60.3069
3864;RV651;R;3;6.0331,61.9194,6.1376,62.1465
3865;RV658;R;3;6.0989,62.4705,6.1887,62.5599
3866;RV7;R;1;6.8285,60.1696,10.2143,60.7025
3867;RV70;R;2;7.7229,62.5488,9.6922,63.1232
3868;RV706;R;3;10.36,63.3829,10.488,63.4403
3869;RV73;R;2;13.4076,65.5174,14.5371,65.6926
3870;RV77;R;2;15.4179,66.7488,15.8346,66.8242
3871;RV80;R;2;12.0508,67.2566,15.3916,67.8998
3872;RV827;R;3;15.9999,68.0311,16.6145,68.2863
3873;RV83;R;2;16.5066,68.6337,16.5891,68.8078
3874;RV85;R;2;15.4132,68.2217,16.0868,68.7068
3875;RV881;R;3;23.3576,69.9741,23.3584,69.976
3876;RV9;R;1;7.3203,58.1474,7.9861,59.7348
3877;RV92;R;2;23.5628,69.1937,29.3712,69.7019
3878;RV94;R;2;23.6387,70.4326,24.5021,70.6799
