X,Y,Z
-30468.91,6729042.3,119.808
-30460.41,6729053.2,118.608
-30456.8,6729058.1,118.508
-30455.09,6729060.6,118.509
-30449.41,6729069.3,118.309
-30443.3,6729079.1,118.209
-30437.09,6729088.7,118.009
-30428.3,6729100.4,118.009
-30425.533,6729104.507,117.31
-30421.159,6729110.161,116.92
-30419.09,6729114.0,117.709
-30417.91,6729115.9,118.009
-30417.2,6729117.1,118.009
-30413.5,6729120.65,116.79
-30410.59,6729124.8,117.209
-30402.7,6729136.3,116.609
-30396.8,6729144.6,116.509
-30389.0,6729156.7,116.009
-30384.7,6729163.2,115.909
-30381.09,6729168.3,115.909
-30372.394,6729179.375,115.609
-30366.492,6729188.338,115.309
-30362.582,6729194.813,114.709
-30356.625,6729208.013,113.609
-30354.084,6729215.394,113.409
-30349.91,6729229.3,111.909
-30344.91,6729243.1,110.809
-30339.5,6729257.0,109.709
-30333.7,6729270.6,108.509
-30330.5,6729276.6,108.209
-30322.91,6729288.7,106.609
-30314.3,6729300.3,106.409
-30304.5,6729311.9,105.009
-30299.91,6729316.3,104.909
-30297.7,6729318.4,104.509
-30296.7,6729319.8,104.209
-30296.0,6729320.6,104.109
-30291.3,6729326.5,103.909
-30288.956,6729328.708,103.871
-30282.7,6729335.3,103.309
-30273.91,6729346.7,102.509
-30264.5,6729356.9,101.809
-30254.41,6729367.5,101.509
-30246.59,6729378.3,100.409
-30238.41,6729389.9,99.409
-30229.91,6729402.3,98.509
-30226.0,6729408.6,98.009
-30219.09,6729421.3,97.109
-30216.09,6729426.5,96.809
-30213.7,6729431.8,96.809
-30211.41,6729440.95,95.899
-30210.2,6729444.0,96.109
-30209.36,6729447.392,96.009
-30208.12,6729452.13,94.999
-30205.7,6729458.0,95.409
-30204.2,6729464.6,94.909
-30202.5,6729478.2,94.109
-30202.3,6729483.8,93.309
-30201.8,6729498.4,92.609
-30201.5,6729507.6,92.509
-30200.8,6729520.2,92.109
-30200.09,6729535.0,90.609
-30199.6,6729542.77,89.77
-30200.0,6729549.2,89.109
-30199.2,6729560.5,88.309
-30198.91,6729570.3,87.609
-30198.09,6729585.6,87.109
-30197.91,6729592.7,87.109
-30197.8,6729593.8,87.109
-30197.7,6729600.3,86.609
-30197.3,6729611.0,85.809
-30196.7,6729621.2,85.609
-30196.41,6729635.3,85.309
-30195.2,6729650.3,84.609
-30194.72,6729655.74,84.609
-30193.91,6729664.6,84.609
-30192.7,6729678.3,84.509
-30192.302,6729692.016,83.909
-30191.835,6729697.706,83.609
-30190.375,6729716.433,83.109
-30189.479,6729727.687,83.009
-30188.125,6729737.044,82.609
-30186.641,6729749.869,82.609
-30184.3,6729764.0,82.609
-30182.5,6729778.5,82.509
-30180.59,6729792.4,82.409
-30179.09,6729806.3,82.009
-30177.8,6729820.8,81.809
-30176.3,6729835.0,81.809
-30175.2,6729844.3,81.909
-30173.2,6729858.8,81.909
-30171.5,6729873.6,81.809
-30170.0,6729887.4,82.009
-30168.8,6729901.1,81.809
-30167.3,6729916.4,80.909
-30166.0,6729932.0,80.709
-30164.59,6729938.0,80.509
-30162.5,6729949.7,80.609
-30160.91,6729960.3,80.809
-30159.3,6729973.3,80.909
-30157.7,6729989.0,80.909
-30155.0,6730012.2,81.109
-30154.59,6730016.5,81.409
-30153.59,6730024.4,81.309
-30152.2,6730038.5,80.609
-30150.5,6730053.3,80.609
-30148.3,6730066.9,80.309
-30145.772,6730082.698,79.735
-30143.59,6730096.1,79.809
-30142.59,6730103.1,79.609
-30141.2,6730112.8,79.109
-30139.5,6730127.0,78.809
-30137.3,6730141.2,78.309
-30135.2,6730155.6,78.109
-30132.41,6730170.6,78.109
-30129.913,6730185.446,77.579
-30128.59,6730192.9,78.109
-30126.41,6730203.1,78.009
-30125.09,6730216.7,77.409
-30123.09,6730230.1,76.609
-30120.91,6730244.2,76.409
-30119.5,6730258.6,76.109
-30118.09,6730272.4,75.609
-30116.3,6730284.5,75.409
-30114.2,6730298.6,75.409
-30112.2,6730312.1,75.409
-30110.09,6730326.4,75.409
-30107.8,6730340.5,75.409
-30106.3,6730355.0,75.409
-30104.91,6730369.5,75.409
-30103.811,6730374.82,75.409
-30102.46,6730383.842,75.65
-30101.511,6730389.775,75.809
-30099.407,6730404.035,76.009
-30098.461,6730412.335,76.409
-30097.59,6730421.2,76.409
-30097.201,6730426.041,76.442
-30096.41,6730435.9,76.509
-30096.09,6730444.8,76.509
-30096.09,6730460.8,76.709
-30097.5,6730469.1,76.809
-30099.91,6730481.2,77.009
-30101.2,6730486.0,77.009
-30105.09,6730494.9,77.009
-30110.2,6730503.5,77.009
-30119.91,6730515.1,77.109
-30122.5,6730517.9,77.309
-30125.5,6730520.8,77.308
-30131.356,6730525.392,76.94
-30135.41,6730530.2,77.708
-30141.136,6730536.778,78.098
-30142.7,6730538.6,78.108
-30143.41,6730539.4,78.108
-30148.7,6730545.1,78.308
-30157.0,6730555.2,78.508
-30165.5,6730566.9,78.508
-30173.41,6730579.7,78.508
-30176.41,6730585.2,78.408
-30182.2,6730599.1,78.008
-30184.59,6730608.3,77.608
-30185.5,6730616.6,77.608
-30187.646,6730631.456,77.508
-30188.89,6730641.8,77.508
-30188.846,6730649.235,77.508
-30188.092,6730660.045,77.008
-30186.49,6730675.623,76.508
-30185.047,6730688.723,76.508
-30184.095,6730699.817,76.608
-30183.891,6730701.784,76.808
